"구분(1)",1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분(1)",배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,생물성 연소,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,생물성 연소,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,생물성 연소,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,생물성 연소,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,생물성 연소,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,생물성 연소,배출원대분류 합계,에너지산업 연소,비산업 연소,제조업 연소,생산공정,도로이동오염원,비도로이동오염원,폐기물처리,기타 면오염원,생물성 연소
"전국",885179083,22553597,53713983,13838184,29630722,717583508,46284249,1574841,900568657,24406735,55337775,14295419,29204110,727548094,48001450,1775074,845076039,26731641,56470200,14299562,21764991,677180397,46895469,1733778,822766932,27524404,54791279,15098737,21751227,647090860,54530197,1980226,805414197,28133745,55008569,14912260,22022234,625812249,57399008,2126132,816954235,32521890,60050492,13866781,20077171,636937957,51414678,2085267,788917218,35889403,79758633,14341646,22881899,584484514,49613094,1948028,829937640,39289642,88521578,13786280,21702124,610762418,53610576,2265022,808861571,40359908,80155126,15423534,21770751,546492555,95559149,2230802,6869746,703661185,39877727,86386737,13024915,18376906,483446060,52396475,2621097,7531270,817979439,42999695,82828318,15968264,17909175,583722517,65806751,1011089,7733629,766268728,50628564,83434948,17706444,19719369,520386303,66793372,955122,6644606,718344514,56201620,79803909,19179137,21405807,463542566,68290360,1860665,8060450,703586153,59190461,79152370,19140958,20647607,442671984,72950427,3299831,6532521,696681964,63457412,87531743,20125384,24911941,409218262,82615263,1957361,6864598,594453525,57855992,76594218,18716440,25855382,281225137,126102966,1644859,6458532,792775758,55138281,72298628,16854190,26068954,245515823,135700316,1547579,7196815,232455175,840892101,59454770,67694063,16843189,27339726,245305559,181429502,1809379,6977293,234038619,835597356,62765342,62711416,17295098,27750266,238983975,189509243,1904876,8655575,226021565,801796431,69497504,58168790,18861866,27866415,212892124,189556299,1835294,7556299,215561840,752712617,64613903,47629948,18865121,26766295,176308254,187298301,2036466,10552062,218642267,711399328,61608835,41801604,17907046,24952077,151787688,184386038,2311866,9865483,216778691,694817173,68449806,40898197,19190970,25825973,134628876,176632970,2235420,6472808,220482153
"서울특별시",187689188,592956,11490385,257931,-,171207044,4042820,98053,193907158,664897,11259240,277312,-,176447454,5129583,128672,185166213,651786,10828792,355636,-,168256084,4916290,157625,170746245,674756,9657447,340511,-,152797275,7119466,156790,166006456,571494,9142701,335342,-,148377317,7407126,172476,161153974,524276,10020481,222093,-,145525012,4688887,173224,161873459,580415,13227774,458146,13,140202026,7192814,212270,159769899,479594,13870434,309007,-,141927259,2947375,236230,143110161,809316,13022307,428480,0,108789073,18845562,282654,932769,114549997,640073,12837740,246406,-,95976712,3482587,368140,998340,145101986,501118,14401991,170225,0,124703696,4258890,125309,940756,130292138,743519,14530604,83301,0,109327627,4719580,96219,791289,113308974,742284,13917024,213098,-,91637564,5841032,134676,823295,106189660,838643,13492529,86598,-,84429928,6296182,190349,855431,103038526,795696,17817601,77109,-,76898129,6528172,82118,839701,62206030,423301,9557306,90890,-,45396040,5797073,75305,866115,53677893,369918,9458586,115217,-,35827750,6697358,67165,882836,259065,57422880,349529,10026208,83880,-,37512630,8181090,99909,959541,210094,58898513,372114,9883130,73896,-,36148736,11229958,82200,892778,215701,60158742,332858,9984701,66084,-,31279392,17284530,62682,947514,200981,45358052,481018,9052460,63760,-,24574113,10040195,89335,876211,180960,42125183,1401355,8169260,59558,-,20895033,10303142,95417,757897,443521,36906754,1463731,8316960,48739,-,17750583,8109594,102548,736496,378102
"부산광역시",55406177,28865,2310344,421460,48318,49612841,2785756,198593,52333174,30583,2372569,473173,24740,45782516,3468523,181069,55150971,54740,2655000,574181,22552,48329917,3410341,104240,56935934,22222,2700051,1014007,24554,48400697,4664456,109947,47850165,288615,2662717,448262,21008,39475398,4829364,124800,50187377,2362989,2512269,1943344,16516,39639866,3561517,150875,51202521,2338643,2679363,577630,13544,41818925,3631927,142489,55211067,2700672,2939974,588883,14437,44068415,4704092,194594,52421030,3001855,2659714,607105,18550,40875003,4733454,143951,381397,41448705,2277283,2624352,489450,18512,31976718,3463459,143005,455926,50112388,2469546,2932744,609544,13600,38543765,5069965,17102,456122,42220582,3258281,2899321,602415,19072,31161336,3900110,18900,361147,37742815,3041565,2585613,572469,20441,25682501,5326673,15752,497801,36880381,2350522,2501493,624468,18943,25713292,5309110,17227,345326,36078678,2961252,2223544,508922,1149,24475333,5505310,56512,346657,25559582,3114823,2314449,556061,1213,14233172,5019754,15263,304848,22019004,1637415,2335033,520027,1498,11106299,5473854,25093,295246,624539,27128399,2046755,2444315,513288,881,11590196,9561914,32216,328599,610235,28284528,1551579,2173613,510955,-,11938709,11054461,29121,388748,637342,26822829,2312963,2068608,633067,-,10501881,10220078,20667,460399,605166,24525124,1755381,1773977,549879,206,8855398,10466293,37428,465603,620958,22210479,1873739,1645561,518101,1,7548670,9381243,45056,372391,825718,21919535,2109174,1661348,523850,-,6688493,9791762,68085,338628,738194
"대구광역시",36611520,136387,2106062,676302,529,32617473,977697,97071,39476957,127971,1962310,706424,173,35074959,1515368,89752,36710520,128619,1843248,697817,861,32142867,1801696,95411,32776079,126788,1850984,543845,1245,28514502,1650420,88295,34442252,119053,2055803,468467,54,29509640,2209853,79382,41012618,149657,3020650,313622,-,35361665,2091066,75958,38251011,134573,4652024,467189,-,30370042,2552162,75021,43146046,130547,5714605,384297,-,34363778,2482052,70766,38271846,130965,5291826,389345,408,29405733,2659185,94959,299425,33081043,139505,5975563,165463,662,25125253,1206541,100953,367103,38182143,143192,5192793,335350,723,31023646,1104461,35425,346553,34572210,149403,5073095,409152,1270,27661393,953217,38376,286303,33058487,238403,4645047,383205,1635,26055600,1369184,68795,296618,32290730,189184,4688558,400780,1475,24812317,1861066,75943,261407,31526787,143369,5053982,331068,1499,22497621,3191350,79084,228813,21607780,126423,3262858,440961,1223,14567699,2861394,83595,263627,20440709,784513,3069529,370563,1295,12349319,1889700,98030,270978,1606783,20446160,864291,2848455,335347,805,12099630,2257272,139497,259012,1641851,18683893,736353,2648262,336034,-,11389153,1573627,170399,241086,1588979,17414373,727262,2456425,316205,-,9841586,2263167,157834,214988,1436905,16256032,765582,2015294,297584,122,7910511,3502612,144783,201341,1418203,13535192,694253,1748003,264576,0,6921699,1727060,178879,184052,1816668,12206526,637280,1743145,306099,-,6126550,1159801,144411,177552,1911687
"인천광역시",39972103,4757675,1528827,734079,690327,30363888,1850828,46480,47184528,4577570,1143661,778069,972083,37390864,2275427,46853,52197269,4969972,907601,1169698,889672,41182842,3034354,43129,48279627,5246848,868407,1104560,431512,36774919,3758280,95101,45911163,4872533,811187,836027,593291,34653613,4017119,127394,48693667,5988974,784202,657012,522446,36344331,4289730,106973,45217979,7201813,757608,904982,698979,32509947,3048616,96035,50697957,8460018,764453,1226533,769450,36184956,3134172,158374,58040668,9986817,739713,906118,1012298,36855329,8044700,179064,316629,47726789,9594466,696735,641586,574416,30606580,5095024,185859,332123,45030929,9612321,1046327,721382,583850,27715157,5037612,25959,288321,45329019,12700125,1219006,841949,552438,22637651,7000978,50158,326714,41491008,13490560,1039367,806418,577436,20142158,5058433,100828,275808,40057113,14831512,1026477,857629,618991,17574491,4787145,119927,240943,41461063,16560654,1276476,1019131,482197,15492034,6266377,129654,234541,37199332,14012782,2307125,957879,891509,12695206,5866835,193149,274849,38917440,11154411,2198717,746144,895122,11894613,9052935,132540,287103,2555856,38746700,11036412,2109215,808701,900376,12430849,8842153,123169,282783,2213043,43627053,9708542,2031235,835026,1096022,13604828,13850459,127823,246301,2126816,39709430,10361144,2031640,874215,981661,12670807,10261425,94336,242572,2191630,36690877,9793881,1746532,785393,741848,10220828,10897455,146008,227004,2131928,32136134,9879652,1596601,729897,630443,9111271,7668468,101704,220511,2197588,30572983,11207019,1666904,815098,718875,7906544,5782135,99373,190823,2186210
"광주광역시",22396860,-,1984445,114349,-,19538755,753877,5434,21464492,-,1923502,134067,-,18406178,920770,79975,18029495,-,1997303,146303,-,15071545,750915,63429,22573328,-,1895857,115582,-,19466259,1025316,70313,19360000,-,1779323,1049543,-,14945137,1538862,47135,18362831,-,1902077,160974,-,15314050,931696,54034,16412867,-,2486717,138734,-,12905097,828107,54212,16647186,-,2836730,109826,0,12137659,1461816,101156,15400739,0,2503425,112126,108,11242927,1326968,53031,162153,14870225,-,3024049,35400,152,10565686,927951,55634,261353,17752672,0,3465596,113220,199,13542731,387737,7845,235343,15215573,162623,3282434,157260,524,10623384,787007,9931,192410,14487372,104820,3121074,267712,681,9598079,1198070,13227,183709,14455620,89120,3113871,149008,705,9240922,1679182,17700,165111,13869330,172345,3149981,132953,727,8636986,1591352,17969,167017,9144697,119033,1397243,171427,652,5878185,1409418,17832,150906,9187783,100442,1307830,155347,839,4951847,1098237,15935,150114,1407191,9405542,106969,1300323,163819,630,4678182,1598374,15626,142200,1399420,9784154,116279,1256780,174072,-,5001952,1817253,12485,137814,1267519,8123760,117201,1213367,167292,-,4205801,1029144,15011,128587,1247358,7604469,115303,1034394,160846,103,3438243,1515197,18168,125587,1196629,7040018,116402,932168,150670,0,2987164,1290532,30304,131421,1401356,6400237,120256,934860,168519,-,2624336,906472,38331,110541,1496924
"대전광역시",20509899,97984,1539803,132453,-,17856276,777407,105977,20740851,93709,1913563,121058,-,17334141,1190422,87957,20182833,92032,2371411,117219,242,16319035,1177762,105133,19556350,91487,1962121,92965,476,15930094,1377542,101665,23975235,87611,2109654,86313,-,19617276,2035885,38496,22299285,93063,1981706,57131,-,18794262,1329949,43175,23674090,82279,2845444,92365,-,19689072,898328,66602,24752721,82295,3813451,90188,26456,19946835,715207,78289,22653143,85267,3536682,99271,61102,17299116,1298448,41356,231902,21783500,81930,4312373,38708,283,15519946,1430331,159892,240036,22990868,84675,4264561,113793,327,16972027,1327477,8121,219888,20260577,86788,4287034,106368,462,14393355,1153619,18979,213972,19709141,113432,4095948,135504,554,13255846,1889145,17034,201677,18378258,165414,4048554,161365,813,12810856,966187,18025,207044,18124342,144389,4677909,124406,918,11775752,1192560,18963,189445,11897441,78943,2431628,137014,820,8092837,933814,26959,195426,11891648,105366,2242720,110344,839,6928278,1198391,29529,192956,1083225,11684490,114483,2215778,102174,461,6753034,1124843,35391,151898,1186428,11582765,116423,2112441,109997,-,6636682,1215373,33004,163339,1195506,10809250,129408,2052448,130275,-,5770626,1369318,41859,162974,1152343,8871281,122076,1747144,139709,40,4536328,1108037,36269,133562,1048115,7898760,124142,1551932,134748,0,3742220,1008036,23353,129091,1185239,7425518,118368,1577748,132905,-,3194411,1005313,19842,119395,1257537
"울산광역시",36018718,2095680,424465,2365493,16762023,13031997,1321612,17448,37891204,2614199,490241,2526707,16921371,13768573,1501098,69016,32196701,2895864,496320,2173871,9880857,15201527,1465458,82804,32571518,2737291,532326,2226856,10880140,14496220,1608417,90267,30643998,2554287,535139,2166103,10135074,13716295,1387204,149896,31049233,2714909,521139,1966845,10946392,13217443,1549464,133041,32591380,3090424,508809,2226189,13150821,12218624,1304029,92485,33828571,3121905,421771,2567133,11761202,14124113,1743848,88598,34615316,3315183,390168,2470652,11276433,13530896,3312454,93129,226403,28736543,2838783,389242,2031551,8502641,12975773,1682838,89837,225679,31630295,2613395,497329,2947746,8811238,14685925,1814955,24098,235609,31300231,3158145,558000,3602357,9060684,12704772,1999721,23564,192989,31094423,3564062,526318,3248593,9771005,11543043,2178558,55339,207506,31481956,3755975,487398,3903747,8697770,11651126,2630410,193877,161654,36185363,4353298,527710,3518746,13635011,10913724,2416005,192432,628436,30855793,3457993,771921,3460697,13738670,7143072,2007984,139602,135854,30456208,2987657,789460,2625483,13452333,6271805,2398462,167565,132093,1631351,32104512,3332173,840269,3192714,14358716,5861873,2540774,144220,138177,1695596,31580213,2991513,802225,3667095,14616521,5390639,2107950,180332,169393,1654546,31505370,3744977,779307,4236280,14582342,4589614,1676029,138304,138778,1619739,29219465,3463854,691898,3985805,13623477,3957623,1772968,139812,112031,1471997,27506621,3160824,628801,3304151,12684515,3528789,1503547,217880,884492,1593622,27606964,3441398,627671,3967642,13120789,2969778,1479406,232436,123417,1644429
